location,source,target,ID,fuzzy,context,translator_comments,developer_comments
routes/$lang+/analytics+/disaster-events.tsx:315,Total People Affected,,analysis.total_people_affected,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:101,"Total people affected is the sum of injured, missing, directly affected people and displaced",,analysis.total_people_affected_tooltip,,,,"Tooltip explaining that total people affected is the sum of injured, missing, directly affected people and displaced"
frontend/analytics/hazards/sections/HumanAffects.tsx:269,Total number of people directly affected,,analysis.total_people_directly_affected,,,,Tooltip explaining that this is the total number of people directly affected
frontend/analytics/sectors/sections/EffectDetails.tsx:321,Type,,analysis.type,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:400,Users Affected,,analysis.users_affected,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:333,"View detailed information about damages, losses, and disruptions in the selected sector.",,analysis.view_detailed_info_sector,,,,
routes/$lang+/analytics+/disaster-events.tsx:658,View records,,analysis.view_records,,,,
routes/$lang+/analytics+/disaster-events.tsx:631,Welcome to the Disaster Events Dashboard! 🌟,,analysis.welcome_disaster_events_dashboard,,,,
routes/$lang+/analytics+/hazards.tsx:446,Welcome to the Hazard Dashboard! 🌟,,analysis.welcome_hazard_dashboard,,,,
routes/$lang+/analytics+/sectors.tsx:744,Welcome to the Sectors Dashboard! 🌟,,analysis.welcome_to_sectors_dashboard,,,,
frontend/analytics/sectors/sections/ImpactOnSector.tsx:569,Zero Impact (Confirmed),,analysis.zero_impact_confirmed,,,,
components/CustomMap.tsx:538,Zero Impact (Confirmed),,analysis.zero_impact_confirmed,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:549,Zero Impact (Confirmed),,analysis.zero_impact_confirmed,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:590,Zero Impact (Confirmed),,analysis.zero_impact_confirmed,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:630,Zero Impact (Confirmed),,analysis.zero_impact_confirmed,,,,
frontend/approval.ts:39,Draft,,approval_status.draft,,,,Approval status field: draft
frontend/approval.ts:30,Record Status,,approval_status.label,,,,Label for the approval status field
frontend/approval.ts:55,Needs revision,,approval_status.needs_revision,,,,Approval status field: needs revision
frontend/approval.ts:71,Published,,approval_status.published,,,,Approval status field: published
frontend/approval.ts:63,Validated,,approval_status.validated,,,,Approval status field: validated
frontend/approval.ts:47,Waiting for validation,,approval_status.waiting_for_validation,,,,Approval status field: waiting for validation
frontend/attachmentsView.tsx:22,Attachments,,attachments,,,,
frontend/disaster-record/form.tsx:169,Attachments,,attachments,,,,
frontend/attachmentsFormView.tsx:34,Attachments,,attachments,,,,Label for attachments section
frontend/attachmentsFormView.tsx:187,Enter URL,,attachments.enter_url,,,,Placeholder for URL input field
frontend/attachmentsFormView.tsx:81,File/URL,,attachments.file_or_url,,,,Label for file or URL field in attachments
frontend/attachmentsFormView.tsx:172,File Upload,,attachments.file_upload,,,,Label for file upload label
frontend/attachmentsFormView.tsx:181,Link,,attachments.link,,,,Label for link field
frontend/attachmentsFormView.tsx:144,Type,,attachments.type,,,,Label for attachment type selection
components/AuditLogHistory.tsx:46,Action Taken,,audit_log.action_taken,,,,Label for the action taken in the audit log
components/AuditLogHistory.tsx:53,By,,audit_log.by,,,,Label for the user who performed the action in the audit log
components/AuditLogHistory.tsx:67,Date,,audit_log.date,,,,Label for the date of the audit log entry
frontend/disaster-record/form.tsx:477,Audit Log History,,audit_log.history,,,,
frontend/events/hazardeventform.tsx:702,Audit Log History,,audit_log.history_title,,,,Title for the audit log history section
components/AuditLogHistory.tsx:60,Organisation,,audit_log.organisation,,,,Label for the organisation in the audit log
components/AuditLogHistory.tsx:74,Time,,audit_log.time,,,,Label for the time of the audit log entry
frontend/spatialFootprintFormView.tsx:127,Action,,common.action,,,,
frontend/attachmentsFormView.tsx:115,Action,,common.action,,,,Label for action
routes/$lang+/disaster-record+/edit.$id.tsx:673,Actions,,common.actions,,,,
routes/$lang+/disaster-record+/edit.$id.tsx:843,Actions,,common.actions,,,,Actions
routes/$lang+/disaster-record+/edit.$id.tsx:343,Actions,,common.actions,,,,
frontend/events/disastereventlist.tsx:74,Actions,,common.actions,,,,Label for action links/buttons
components/ContentRepeater/index.tsx:1400,Add,,common.add,,,,Label for add action
frontend/form.tsx:569,Add,,common.add,,,,Add
components/ContentRepeater/index.tsx:1474,Add New Item,,common.add_new_item,,,,Heading label for adding a new item
routes/$lang+/disaster-record+/edit.$id.tsx:595,Add new record,,common.add_new_record,,,,
routes/$lang+/disaster-record+/edit.$id.tsx:280,Add new record,,common.add_new_record,,,,
routes/$lang+/disaster-record+/edit.$id.tsx:810,Add new record,,common.add_new_record,,,,
components/ContentRepeater/index.tsx:1840,Apply,,common.apply,,,,Label for apply action
frontend/components/DisasterRecordsFilter.tsx:343,Apply filters,,common.apply_filters,,,,
frontend/components/list-page-disasterevents-filters.tsx:190,Apply filters,,common.apply_filters,,,,Button label to apply filters
frontend/analytics/sectors/sections/Filters.tsx:1099,Apply filters,,common.apply_filters,,,,
frontend/events/disastereventform.tsx:640,Attachments,,common.attachments,,,,Label for attachments
components/ContentRepeater/index.tsx:1847,Cancel,,common.cancel,,,,Label for cancel action
frontend/events/disastereventform.tsx:920,Change,,common.change,,,,Change
frontend/events/disastereventform.tsx:942,Change,,common.change,,,,Change
frontend/events/hazardeventform.tsx:500,Change,,common.change,,,,Label for change action link or button
frontend/analytics/sectors/sections/Filters.tsx:1092,Clear,,common.clear,,,,
frontend/components/list-page-disasterevents-filters.tsx:198,Clear,,common.clear,,,,Button label to clear filters or input
frontend/components/DisasterRecordsFilter.tsx:350,Clear,,common.clear,,,,
frontend/analytics/hazards/sections/HazardFilters.tsx:287,Clear,,common.clear,,,,Clear form data
components/ContentRepeater/index.tsx:1483,Close dialog,,common.close_dialog,,,,Label for closing the dialog
frontend/spatialFootprintFormView.tsx:268,Close dialog,,common.close_dialog,,,,Label for closing the dialog
routes/$lang+/disaster-record+/_index.tsx:74,Created,,common.created,,,,Creation date
frontend/analytics/sectors/sections/MostDamagingEvents.tsx:300,Created,,common.created,,,,
frontend/events/disastereventlist.tsx:62,Created,,common.created,,,,Label for creation date
frontend/disaster-record/form.tsx:416,Created at,,common.created_at,,,,Created date
frontend/events/disastereventform.tsx:458,Data source,,common.data_source,,,,Row label for data source column
frontend/events/disastereventform.tsx:451,Data Source,,common.data_source,,,,Label for data source field
frontend/events/disastereventform.tsx:163,Date,,common.date,,,,Label for date field
frontend/events/disastereventform.tsx:124,Date,,common.date,,,,Label for date field
frontend/events/disastereventform.tsx:202,Date,,common.date,,,,Label for date field
frontend/events/disastereventform.tsx:87,Date,,common.date,,,,Label for date field
frontend/events/disastereventform.tsx:240,Date,,common.date,,,,Label for date field
routes/$lang+/disaster-record+/edit.$id.tsx:769,Delete,,common.delete,,,,
routes/$lang+/disaster-record+/edit.$id.tsx:866,Delete,,common.delete,,,,Delete
routes/$lang+/disaster-record+/edit.$id.tsx:566,Delete,,common.delete,,,,
components/ContentRepeater/index.tsx:1350,Delete,,common.delete,,,,Label for delete action
routes/$lang+/analytics+/disaster-events.sector.tsx:465,Description,,common.description,,,,
frontend/events/disastereventform.tsx:184,Description,,common.description,,,,Label for description field
frontend/events/disastereventform.tsx:146,Description,,common.description,,,,Label for description field
routes/$lang+/analytics+/disaster-events.sector.tsx:464,Description,,common.description,,,,
frontend/events/disastereventform.tsx:70,Description,,common.description,,,,Label for description field
frontend/events/disastereventform.tsx:222,Description,,common.description,,,,Label for description field
frontend/events/hazardeventform.tsx:321,Discard,,common.discard,,,,Label for disregard action
routes/$lang+/disaster-record+/edit.$id.tsx:877,Edit,,common.edit,,,,Edit
frontend/form.tsx:1408,Edit,,common.edit,,,,Label for edit action button
routes/$lang+/disaster-record+/edit.$id.tsx:779,Edit,,common.edit,,,,
components/ContentRepeater/index.tsx:1364,Edit,,common.edit,,,,Label for edit action
components/ContentRepeater/index.tsx:1469,Edit Item,,common.edit_item,,,,Heading label for editing an item
frontend/analytics/hazards/sections/DisasterEventsList.tsx:50,End Date,,common.end_date,,,,
frontend/disaster-record/form.tsx:59,End Date,,common.end_date,,,,
frontend/events/disastereventform.tsx:320,End Date,,common.end_date,,,,Label for end date field
frontend/analytics/sectors/sections/EffectDetails.tsx:217,Error,,common.error,,,,
frontend/analytics/sectors/sections/MostDamagingEvents.tsx:235,Error loading data. Please try again.,,common.error_loading_data,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:226,Failed to load data,,common.failed_to_load_data,,,,
frontend/components/list-page-disasterevents-filters.tsx:116,From,,common.from_date,,,,From date label
frontend/analytics/sectors/sections/Filters.tsx:988,From,,common.from_date,,,,From date
frontend/components/DisasterRecordsFilter.tsx:206,From,,common.from_date,,,,From date
frontend/analytics/hazards/sections/HazardFilters.tsx:246,From,,common.from_date,,,,From date
frontend/analytics/sectors/sections/Filters.tsx:679,From date cannot be later than To date. Please adjust your date selection.,,common.from_date_cannot_be_later_than_to_date,,,,
frontend/analytics/sectors/sections/Filters.tsx:568,From date is later than To date. The To date has been cleared.,,common.from_date_later_than_to_date,,,,
frontend/form.tsx:1536,ID,,common.id,,,,Label for ID field
routes/$lang+/disaster-record+/edit.$id.tsx:822,ID,,common.id,,,,ID
routes/$lang+/disaster-record+/edit.$id.tsx:625,ID,,common.id,,,,
frontend/components/list-page-disasterevents-filters.tsx:40,Invalid Date Range,,common.invalid_date_range,,,,Summary label for date range error
frontend/components/DisasterRecordsFilter.tsx:116,Invalid Date Range,,common.invalid_date_range,,,,Summary label for date range error
frontend/disaster-record/form.tsx:149,Legacy Data,,common.legacy_data,,,,Label for legacy data field
frontend/events/disastereventform.tsx:630,Legacy Data,,common.legacy_data,,,,Label for legacy data field
frontend/disaster-record/form.tsx:287,Linking parameter,,common.linking_parameter,,,,
frontend/analytics/sectors/sections/Filters.tsx:1036,Loading...,,common.loading,,,,
frontend/analytics/sectors/sections/MostDamagingEvents.tsx:226,Loading data...,,common.loading_data,,,,
frontend/spatialFootprintFormView.tsx:235,Map Coordinates / Geographic Level,,common.map_coordinates_geographic_level,,,,Label for combined map coordinates and geographic level
frontend/analytics/sectors/sections/MostDamagingEvents.tsx:359,Next,,common.next,,,,
frontend/events/disastereventform.tsx:390,No,,common.no,,,,No (false)
frontend/analytics/sectors/sections/ImpactOnSector.tsx:480,No data,,common.no_data,,,,
components/MapChart.tsx:358,No Data,,common.no_data,,,,
components/CustomMap.tsx:241,No data,,common.no_data,,,,
frontend/analytics/sectors/sections/ImpactOnSector.tsx:579,No data available,,common.no_data_available,,,,
frontend/analytics/sectors/sections/ImpactOnSector.tsx:596,No data available,,common.no_data_available,,,,
components/EmptyChartPlaceholder.tsx:13,No data available,,common.no_data_available,,,,
components/CustomMap.tsx:522,No Data Available,,common.no_data_available,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:251,No data available,,common.no_data_available,,,,
frontend/analytics/sectors/sections/ImpactOnSector.tsx:485,No data available,,common.no_data_available,,,,
components/AreaChart.tsx:136,No data available,,common.no_data_available,,,,
frontend/analytics/hazards/sections/DamagesAndLoses.tsx:182,No data,,common.no_data_image_alt,,,,
frontend/analytics/hazards/sections/DamagesAndLoses.tsx:90,No data,,common.no_data_image_alt,,,,
frontend/analytics/hazards/sections/ImpactByHazard.tsx:135,No data,,common.no_data_image_alt,,,,
frontend/disaster-record/form.tsx:294,No link,,common.no_link,,,,
frontend/analytics/sectors/sections/Filters.tsx:838,No match found,,common.no_match_found,,,,
frontend/events/disastereventform.tsx:881,No link,,common.none,,,,No link
frontend/disaster-record/form.tsx:422,N/A,,common.not_available,,,,Not available
frontend/disaster-record/form.tsx:407,N/A,,common.not_available,,,,Not available
frontend/disaster-record/form.tsx:437,N/A,,common.not_available,,,,Not available
frontend/events/disastereventform.tsx:415,Official Warning,,common.official_warning,,,,Row label for official warning column
frontend/spatialFootprintView.tsx:68,Option,,common.option,,,,Table header label for option/action column
frontend/spatialFootprintFormView.tsx:93,Option,,common.option,,,,
frontend/events/disastereventform.tsx:833,Override,,common.override,,,,Label for override input
frontend/analytics/sectors/sections/MostDamagingEvents.tsx:349,Previous,,common.previous,,,,
routes/$lang+/disaster-record+/_index.tsx:49,Related Disaster Event,,common.related_disaster_event,,,,
frontend/form.tsx:1583,Save,,common.save,,,,Label for save button
frontend/form.tsx:1568,Save,,common.save,,,,Label for save button
frontend/events/hazardeventform.tsx:309,Save or Submit,,common.savesubmit,,,,Label for save submit action
frontend/components/DisasterRecordsFilter.tsx:191,Search for UUID,,common.search_uuid,,,,Placeholder for search by UUID input (UUID is specific ID type)
routes/$lang+/disaster-event+/picker.tsx:46,Select,,common.select,,,,Select
routes/$lang+/hazardous-event+/picker.tsx:57,Select,,common.select,,,,Label for select action
frontend/spatialFootprintFormView.tsx:216,Select,,common.select,,,,
frontend/components/DisasterRecordsFilter.tsx:215,Select date,,common.select_date,,,,Select date
frontend/components/list-page-disasterevents-filters.tsx:125,Select date,,common.select_date,,,,Placeholder for date input
frontend/components/list-page-disasterevents-filters.tsx:148,Select date,,common.select_date,,,,Placeholder for date input
frontend/components/DisasterRecordsFilter.tsx:239,Select date,,common.select_date,,,,Select date
frontend/analytics/hazards/sections/HazardFilters.tsx:236,Select Item,,common.select_item_placeholder,,,,
frontend/disaster-record/form.tsx:50,Start Date,,common.start_date,,,,
frontend/analytics/hazards/sections/DisasterEventsList.tsx:49,Start Date,,common.start_date,,,,
frontend/events/disastereventform.tsx:310,Start Date,,common.start_date,,,,Label for start date field
frontend/attachmentsFormView.tsx:134,Tags,,common.tags,,,,Label for tags
frontend/attachmentsFormView.tsx:56,Tags,,common.tags,,,,Label for tags
frontend/attachmentsFormView.tsx:48,Title,,common.title,,,,Label for title
frontend/spatialFootprintFormView.tsx:85,Title,,common.title,,,,
frontend/attachmentsFormView.tsx:125,Title,,common.title,,,,Label for title
frontend/spatialFootprintView.tsx:61,Title,,common.title,,,,Table header label for title/name column
frontend/spatialFootprintFormView.tsx:137,Title,,common.title,,,,
frontend/components/DisasterRecordsFilter.tsx:230,To,,common.to,,,,To date
frontend/analytics/sectors/sections/Filters.tsx:1004,To,,common.to_date,,,,To date
frontend/components/list-page-disasterevents-filters.tsx:139,To,,common.to_date,,,,To date label
frontend/analytics/hazards/sections/HazardFilters.tsx:263,To,,common.to_date,,,,To date
frontend/components/DisasterRecordsFilter.tsx:121,'To' date cannot be earlier than 'From' date.,,common.to_date_before_from_date,,,,Detail message explaining that 'To' date cannot be earlier than 'From' date
frontend/components/list-page-disasterevents-filters.tsx:45,'To' date cannot be earlier than 'From' date.,,common.to_date_before_from_date,,,,Detail message explaining that 'To' date cannot be earlier than 'From' date
frontend/analytics/hazards/sections/HazardFilters.tsx:96,The 'To' date cannot be earlier than the 'From' date.,,common.to_date_cannot_be_earlier_than_from_date,,,,
frontend/events/disastereventform.tsx:374,Unknown,,common.unknown,,,,Unknown (no value set)
frontend/events/hazardeventform.tsx:513,Unset,,common.unset,,,,Label for unset or clear value action
routes/$lang+/disaster-record+/_index.tsx:79,Updated,,common.updated,,,,Last updated date
frontend/events/disastereventlist.tsx:67,Updated,,common.updated,,,,Label for last update date
frontend/disaster-record/form.tsx:431,Updated at,,common.updated_at,,,,Last updated date
components/ContentRepeater/index.tsx:1728,"Uploading, please wait...",,common.uploading_please_wait,,,,Message shown while file is uploading
frontend/analytics/hazards/sections/DisasterEventsList.tsx:47,UUID,,common.uuid,,,,
frontend/form.tsx:1520,View,,common.view,,,,Label for view action
routes/$lang+/disaster-record+/edit.$id.tsx:515,Yes,,common.yes,,,,
routes/$lang+/disaster-record+/edit.$id.tsx:551,Yes,,common.yes,,,,
routes/$lang+/disaster-record+/edit.$id.tsx:372,Yes,,common.yes,,,,
routes/$lang+/disaster-record+/edit.$id.tsx:408,Yes,,common.yes,,,,
routes/$lang+/disaster-record+/edit.$id.tsx:443,Yes,,common.yes,,,,
routes/$lang+/disaster-record+/edit.$id.tsx:479,Yes,,common.yes,,,,
routes/$lang+/disaster-record+/edit.$id.tsx:753,Yes,,common.yes,,,,
routes/$lang+/disaster-record+/edit.$id.tsx:729,Yes,,common.yes,,,,
routes/$lang+/disaster-record+/edit.$id.tsx:695,Yes,,common.yes,,,,
frontend/events/disastereventform.tsx:382,Yes,,common.yes,,,,Yes (true)
frontend/events/disastereventform.tsx:934,Disaster Event,,disaster_event,,,,Disaster Event
frontend/events/disastereventlist.tsx:87,Disaster events,,disaster_event,,,,Label for disaster events
frontend/disaster-record/form.tsx:300,Disaster event,,disaster_event,,,,
frontend/events/disastereventform.tsx:1054,Disaster Event,,disaster_event,,,,Disaster Event
frontend/disaster-record/form.tsx:446,Disaster Event,,disaster_event,,,,
routes/$lang+/disaster-record+/_index.tsx:68,Disaster Event,,disaster_event,,,,
frontend/events/disastereventform.tsx:895,Disaster event,,disaster_event,,,,Disaster event
frontend/analytics/sectors/sections/Filters.tsx:1019,Disaster Event,,disaster_event,,,,
frontend/events/disastereventlist.tsx:110,Add new event,,disaster_event.add,,,,Label for a button that adds new disaster event
frontend/events/disastereventform.tsx:862,Add disaster event,,disaster_event.add,,,,Add disaster event
frontend/components/DisasterRecordsFilter.tsx:169,All disaster events,,disaster_event.all_disaster_events,,,,
frontend/events/disastereventlist.tsx:102,{totalItems} disaster events in {instanceName},,disaster_event.count_header,,,,"Header text showing total number of disaster events and instance name. {totalItems} is the number of events, {instanceName} is the name of the current instance."
frontend/events/disastereventform.tsx:502,Damages (sub‑total) - in monetary terms - local currency,,disaster_event.damages_subtotal_local_currency,,,,Label for damages sub‑total in local currency
frontend/events/disastereventform.tsx:364,Disaster Declaration,,disaster_event.disaster_declaration,,,,Label for disaster declaration field
frontend/events/disastereventform.tsx:114,Disaster declaration,,disaster_event.disaster_declaration,,,,Label for disaster declaration
frontend/events/disastereventform.tsx:398,Disaster Declaration,,disaster_event.disaster_declaration,,,,Label for disaster declaration row
frontend/events/disastereventform.tsx:107,Type and Effect,,disaster_event.disaster_declaration_type_and_effect,,,,Label for type and effect field in disaster declaration
frontend/components/DisasterRecordsFilter.tsx:183,Disaster record,,disaster_event.disaster_record,,,,
frontend/events/disastereventform.tsx:348,Duration (Days),,disaster_event.duration_days,,,,Label for duration field (in days)
frontend/events/disastereventform.tsx:353,Duration (of event direct effects) - in days,,disaster_event.duration_days_description,,,,Help text for duration field - duration of direct effects in days
frontend/events/disastereventform.tsx:77,Early Action,,disaster_event.early_action,,,,Label for early action
frontend/events/disastereventform.tsx:857,Edit disaster event,,disaster_event.edit,,,,Edit disaster event
frontend/events/disastereventform.tsx:483,Effects,,disaster_event.effects,,,,Row label for effects column
frontend/events/disastereventform.tsx:476,Effects (damages + losses) total (in monetary terms - USD),,disaster_event.effects_total_usd,,,,Label for total monetary effects (damages + losses) in USD
frontend/events/disastereventform.tsx:339,End Date in local format,,disaster_event.end_date_local,,,,Label for end date in local format
frontend/analytics/sectors/sections/Filters.tsx:181,Error Loading Events,,disaster_event.error_loading_events,,,,
frontend/analytics/sectors/sections/Filters.tsx:182,Failed to load disaster events. Please try again later.,,disaster_event.failed_to_load_events,,,,
frontend/events/disastereventform.tsx:285,GLIDE Number,,disaster_event.glide_number,,,,Label for GLIDE number field
frontend/events/disastereventform.tsx:295,Global/Regional Name,,disaster_event.global_regional_name,,,,Label for global or regional name field
frontend/events/disastereventform.tsx:300,Disaster event name in global or regional databases (if applicable),,disaster_event.global_regional_name_description,,,,Help text for global or regional name field
frontend/events/disastereventform.tsx:408,Was there an officially issued warning and/or weather advisory?,,disaster_event.had_official_warning_or_weather_advisory,,,,Label for the warning/advisory boolean field
frontend/events/disastereventform.tsx:561,Humanitarian needs - description,,disaster_event.humanitarian_needs_description,,,,Label for humanitarian needs description field
frontend/events/disastereventform.tsx:571,Humanitarian needs - total in local currency,,disaster_event.humanitarian_needs_local_currency,,,,Label for humanitarian‑needs total in local currency
frontend/events/disastereventform.tsx:581,Humanitarian needs - total in USD,,disaster_event.humanitarian_needs_usd,,,,Label for humanitarian needs total in USD
frontend/events/disastereventform.tsx:873,Linking parameter,,disaster_event.linking_parameter,,,,Label for linking parameter
frontend/events/disastereventform.tsx:512,Losses (sub-total) - in monetary terms - USD,,disaster_event.losses_subtotal_usd,,,,Label for losses sub‑total in USD
frontend/events/disastereventlist.tsx:38,Disaster Event Name,,disaster_event.name,,,,Label for disaster event name field
frontend/components/DisasterRecordsFilter.tsx:160,Disaster event name,,disaster_event.name,,,,
frontend/components/list-page-disasterevents-filters.tsx:69,Disaster event name,,disaster_event.name_label,,,,Label for disaster event name field
frontend/events/disastereventform.tsx:259,National Disaster ID,,disaster_event.national_disaster_id,,,,Label for national disaster ID
frontend/events/disastereventform.tsx:270,National name,,disaster_event.national_name,,,,Label for the national disaster name field
frontend/events/disastereventform.tsx:275,National disaster name (if any and applicable),,disaster_event.national_name_description,,,,Help text for the national disaster name field
frontend/events/disastereventform.tsx:492,Non-Economic losses,,disaster_event.non_economic_losses,,,,Label for non‑economic losses field
frontend/events/disastereventform.tsx:424,Which affected areas were covered by the warning?,,disaster_event.official_warning_affected_areas,,,,Label for textarea listing areas covered by the warning
frontend/events/disastereventform.tsx:230,Other assessment,,disaster_event.other_assessment,,,,Label for other assessment
frontend/events/disastereventform.tsx:50,Event ID in other system,,disaster_event.other_id,,,,Label for event ID in another system
frontend/events/disastereventform.tsx:192,Post‑disaster assessment,,disaster_event.post_disaster_assessment,,,,Label for post‑disaster assessment
frontend/events/disastereventform.tsx:153,Rapid/Preliminary assessment,,disaster_event.rapid_preliminary_assessment,,,,Label for rapid or preliminary assessment
frontend/events/disastereventform.tsx:467,Recording institution,,disaster_event.recording_institution,,,,Label for recording institution field
frontend/components/list-page-disasterevents-filters.tsx:93,Recording organization,,disaster_event.recording_organization,,,,Label for recording organization field
frontend/events/disastereventlist.tsx:57,Records Affiliated,,disaster_event.records_affiliated,,,,Label for number of affiliated records field
frontend/events/disastereventform.tsx:620,Recovery needs - total in local currency,,disaster_event.recovery_needs_local_currency_override,,,,Label for recovery needs total in local currency
frontend/events/disastereventform.tsx:590,Rehabilitation costs - total in local currency,,disaster_event.rehabilitation_costs_local_currency_override,,,,Label for rehabilitation costs total in local currency
frontend/events/disastereventform.tsx:600,Repair costs - total in local currency,,disaster_event.repair_costs_local_currency_override,,,,Label for repair costs total in local currency
frontend/events/disastereventform.tsx:610,Replacement costs - total in local currency,,disaster_event.replacement_costs_local_currency_override,,,,Label for replacement costs total in local currency
frontend/events/disastereventform.tsx:542,(Emergency) Response cost - total - in local currency,,disaster_event.response_cost_total_local_currency,,,,Label for emergency response cost total in local currency
frontend/events/disastereventform.tsx:552,(Emergency) Response cost - total - in USD,,disaster_event.response_cost_total_usd,,,,Label for emergency response cost total in USD
frontend/events/disastereventform.tsx:437,Response Operations,,disaster_event.response_operations,,,,Label for response operations field
frontend/events/disastereventform.tsx:532,"Response operations costs (total expenditure, in local currency)",,disaster_event.response_operations_costs_local_currency,,,,"Label for response operations costs field (total expenditure, in local currency)"
frontend/events/disastereventform.tsx:522,(Emergency) Response operations (description),,disaster_event.response_operations_description,,,,Label for response operations description field
frontend/analytics/sectors/sections/Filters.tsx:1027,"Type to search by name, ID, GLIDE number...",,disaster_event.search_by_name_id_glide_placeholder,,,,
frontend/components/list-page-disasterevents-filters.tsx:78,All disaster events,,disaster_event.search_name_placeholder,,,,Placeholder for disaster event name search input
frontend/components/list-page-disasterevents-filters.tsx:102,Search organization,,disaster_event.search_organization_placeholder,,,,Placeholder for organization search input
routes/$lang+/disaster-event+/picker.tsx:25,Select related disaster event,,disaster_event.select_related_disaster_event,,,,Select related disaster event
frontend/events/disastereventform.tsx:329,Start Date in local format,,disaster_event.start_date_local,,,,Label for start date in local format
frontend/events/disastereventlist.tsx:52,Disaster Event UUID,,disaster_event.uuid,,,,Label for disaster event UUID field
frontend/events/disastereventform.tsx:852,Disaster events,,disaster_events,,,,Disaster events
frontend/events/disastereventform.tsx:1095,Disaster events,,disaster_events,,,,Disaster events
frontend/events/disastereventlist.tsx:133,Showing {filtered} of {total} disaster event(s),,disaster_events.showing_filtered_of_total,,,,"Shows how many disaster events are displayed. {filtered} is the number of matching events, {total} is the total number of events."
routes/$lang+/disaster-record+/_index.tsx:111,Add new disaster record,,disaster_record.add,,,,Label for a button that adds new disaster record
frontend/disaster-record/form.tsx:105,Assessments methodologies,,disaster_record.assessment_modes,,,,
frontend/disaster-record/form.tsx:132,Checked by,,disaster_record.checked_by,,,,
routes/$lang+/disaster-record+/_index.tsx:103,{totalItems} disaster records in {instanceName},,disaster_record.count_header,,,,"Header text showing total number of disaster records and instance name. {totalItems} is the number of records, {instanceName} is the name of the current instance."
frontend/disaster-record/form.tsx:141,Data collector,,disaster_record.data_collector,,,,
frontend/disaster-record/form.tsx:95,Field assessment conducted,,disaster_record.field_assessment_date,,,,Label for field assessment conducted date
frontend/disaster-record/form.tsx:67,Local warning and local instructions (recommended actions),,disaster_record.local_warning_instructions,,,,Label for local warning and instructions field
frontend/disaster-record/form.tsx:42,Location Description,,disaster_record.location_description,,,,
frontend/disaster-record/form.tsx:87,Other data sources,,disaster_record.other_data_source,,,,
frontend/disaster-record/form.tsx:77,Primary data source,,disaster_record.primary_data_source,,,,
frontend/disaster-record/form.tsx:113,Recording institution,,disaster_record.recording_institution,,,,
frontend/disaster-record/form.tsx:123,Validated by,,disaster_record.validated_by,,,,
frontend/disaster-record/form.tsx:382,Disaster Records,,disaster_records,,,,
frontend/disaster-record/form.tsx:280,Disaster records,,disaster_records,,,,
routes/$lang+/disaster-record+/_index.tsx:98,Disaster records,,disaster_records,,,,Disaster records
frontend/disaster-record/form.tsx:282,Add disaster records,,disaster_records.add,,,,
frontend/disaster-record/form.tsx:281,Edit disaster records,,disaster_records.edit,,,,
routes/$lang+/disaster-record+/_index.tsx:142,Showing {filtered} of {total} disaster record(s),,disaster_records.showing_filtered_of_total,,,,"Shows how many disaster events are displayed. {filtered} is the number of matching events, {total} is the total number of events."
frontend/analytics/sectors/sections/MostDamagingEvents.tsx:261,Event Name,,event.name,,,,
routes/$lang+/disaster-record+/content-picker-config.tsx:114,No event found,,event.not_found,,,,
frontend/events/hazardeventform.tsx:492,Parent,,event.parent,,,,Label for parent event field
frontend/events/hazardevent-filters.tsx:36,Forecasted,,event_status.forecasted,,,,Label for forecasted hazardous event status
frontend/events/hazardevent-filters.tsx:41,Ongoing,,event_status.ongoing,,,,Label for ongoing hazardous event status
frontend/events/hazardevent-filters.tsx:46,Passed,,event_status.passed,,,,Label for passed hazardous event status
routes/$lang+/examples+/translations+/basic.tsx:33,Example message,,example,,,,Example description
routes/$lang+/examples+/translations+/basic.tsx:16,Example message,,example,,,,Example description
frontend/footer/footer.tsx:66,Privacy policy,,footer.privacy_policy,,,,
frontend/footer/footer.tsx:73,Terms and conditions,,footer.terms_and_conditions,,,,
frontend/footer/footer.tsx:56,"Tracking the costs of disasters is a vital step toward risk‑informed development, and investing in disaster risk reduction.",,footer.tracking_disaster_costs_description,,,,
frontend/events/disastereventform.tsx:1045,Hazardous Event,,hazardous_event,,,,Hazardous Event
frontend/events/disastereventform.tsx:888,Hazardous event,,hazardous_event,,,,Hazardous event
frontend/events/disastereventform.tsx:912,Hazardous Event,,hazardous_event,,,,Hazardous event
frontend/events/disastereventform.tsx:690,Hazardous Event,,hazardous_event,,,,Hazardous Event
routes/$lang+/hazardous-event+/_index.tsx:62,Add new event,,hazardous_event.add,,,,Label for a button that adds new hazardous event.
frontend/events/hazardeventform.tsx:601,Add Hazardous Event caused by this event,,hazardous_event.add_cause,,,,Label for adding a hazardous event caused by another event
frontend/events/hazardeventform.tsx:477,Add hazardous event,,hazardous_event.add_label,,,,Label for adding a new hazardous event
