location,source,target,ID,fuzzy,context,translator_comments,developer_comments
routes/$lang+/analytics+/disaster-events.sector.tsx:533,Disruption ID,,analysis.disruption_id,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:534,Disruption ID,,analysis.disruption_id,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:379,Disruptions,,analysis.disruptions,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:526,Disruptions,,analysis.disruptions,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:371,Disruptions,,analysis.disruptions,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:509,Disruptions,,analysis.disruptions,,,,
frontend/analytics/sectors/sections/ImpactMap.tsx:222,Distribution of impacts across different geographic levels,,analysis.distribution_of_impacts_geographic_levels,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:393,Duration (Days),,analysis.duration_days,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:540,Duration (days),,analysis.duration_days,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:539,Duration (days),,analysis.duration_days,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:543,Duration (hours),,analysis.duration_hours,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:542,Duration (hours),,analysis.duration_hours,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:124,Effect Details,,analysis.effect_details,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:158,Effect Details,,analysis.effect_details,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:189,"View detailed information about damages, losses, and disruptions in the selected sector.",,analysis.effect_details_description,,,,
frontend/analytics/hazards/sections/ImpactByHazard.tsx:44,End,,analysis.end,,,,
frontend/analytics/sectors/sections/Filters.tsx:122,Error Loading Sectors,,analysis.error_loading_sectors,,,,
frontend/analytics/hazards/sections/ImpactByHazard.tsx:156,Events over time,,analysis.events_over_time,,,,
frontend/analytics/sectors/sections/ImpactOnSector.tsx:500,Events over time,,analysis.events_over_time,,,,
frontend/analytics/sectors/sections/ImpactOnSector.tsx:508,Distribution of events over time showing frequency and patterns,,analysis.events_over_time_tooltip,,,,
frontend/analytics/sectors/sections/ImpactMap.tsx:207,Failed to fetch geographic data,,analysis.failed_to_fetch_geographic_data,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:354,Failed to load hazard impact data,,analysis.failed_to_load_hazard_impact_data,,,,
frontend/analytics/sectors/sections/Filters.tsx:123,Failed to load sector data. Please try again later.,,analysis.failed_to_load_sector_data,,,,
components/CustomMap.tsx:154,Fatalities,,analysis.fatalities,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:356,Distribution of affected people by gender,,analysis.gender_distribution_tooltip,,,,Tooltip explaining that the chart shows the distribution of affected people by gender
frontend/analytics/hazards/sections/HazardImpactMap.tsx:116,Geographic Impact View,,analysis.geographic_impact_view,,,,
frontend/analytics/sectors/sections/ImpactMap.tsx:230,Geographic Impact View,,analysis.geographic_impact_view,,,,
frontend/analytics/hazards/sections/HazardFilters.tsx:223,Geographic Level,,analysis.geographic_level,,,,
frontend/analytics/sectors/sections/Filters.tsx:971,Geographic Level,,analysis.geographic_level,,,,
frontend/analytics/sectors/sections/Filters.tsx:978,Geographic Level,,analysis.geographic_level,,,,
frontend/analytics/sectors/sections/Filters.tsx:950,Hazard Cluster,,analysis.hazard_cluster,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:522,Analysis of how different hazards affect this sector,,analysis.hazard_impact_description,,,,
frontend/analytics/sectors/sections/Filters.tsx:940,Hazard Type,,analysis.hazard_type,,,,
routes/$lang+/analytics+/hazards.tsx:407,Hazards Analysis,,analysis.hazards_analysis,,,,
components/CustomMap.tsx:186,Homeless People,,analysis.homeless_people,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:87,Human direct effects,,analysis.human_direct_effects,,,,
routes/$lang+/analytics+/disaster-events.tsx:796,Human effects,,analysis.human_effects,,,,
routes/$lang+/analytics+/disaster-events.tsx:1121,"Children, adults, and seniors affected is the number of children, adults, and seniors who were affected by the disaster event.",,analysis.human_effects.children_adults_and_seniors_affected_tooltip,,,,
routes/$lang+/analytics+/disaster-events.tsx:845,Death is the number of people who died as a result of the disaster event.,,analysis.human_effects.death_tooltip,,,,
routes/$lang+/analytics+/disaster-events.tsx:972,Displaced is the number of people who were displaced as a result of the disaster event.,,analysis.human_effects.displaced_tooltip,,,,
routes/$lang+/analytics+/disaster-events.tsx:875,Injured is the number of people who were injured as a result of the disaster event.,,analysis.human_effects.injured_tooltip,,,,
routes/$lang+/analytics+/disaster-events.tsx:1015,Men and women affected is the number of men and women who were affected by the disaster event.,,analysis.human_effects.men_and_women_affected_tooltip,,,,
routes/$lang+/analytics+/disaster-events.tsx:903,Missing is the number of people who were missing as a result of the disaster event.,,analysis.human_effects.missing_tooltip,,,,
routes/$lang+/analytics+/disaster-events.tsx:940,People directly affected (old DesInventar) is the number of people who were directly affected by the disaster event.,,analysis.human_effects.people_directly_affected_tooltip,,,,
routes/$lang+/analytics+/disaster-events.tsx:1071,Persons with disabilities and living in poverty affected is the number of persons with disabilities and living in poverty who were affected by the disaster event.,,analysis.human_effects.persons_with_disabilities_and_living_in_poverty_affected_tooltip,,,,
routes/$lang+/analytics+/disaster-events.tsx:808,"Total people affected is the sum of injured, missing, directly affected people and displaced",,analysis.human_effects.total_people_affected_tooltip,,,,
frontend/analytics/sectors/sections/ImpactMap.tsx:160,Impact by Geographic Level,,analysis.impact_by_geographic_level,,,,
frontend/analytics/sectors/sections/ImpactMap.tsx:125,Impact by Geographic Level,,analysis.impact_by_geographic_level,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:412,Impact by Hazard Type,,analysis.impact_by_hazard_type,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:448,Impact by Hazard Type,,analysis.impact_by_hazard_type,,,,
frontend/analytics/hazards/sections/ImpactByHazard.tsx:54,impact summary,,analysis.impact_summary,,,,
routes/$lang+/analytics+/disaster-events.tsx:866,Injured,,analysis.injured,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:165,Injured,,analysis.injured,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:192,Injured Icon,,analysis.injured_icon,,,,Alt text for the icon that represents injured people
components/CustomMap.tsx:162,Injuries,,analysis.injuries,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:333,Internally displaced Icon,,analysis.internally_displaced_icon,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:373,Invalid data structure received from server,,analysis.invalid_data_structure,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:509,Invalid data structure received from server,,analysis.invalid_data_structure,,,,
frontend/analytics/hazards/sections/HazardImpactMap.tsx:68,Legend,,analysis.legend,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:198,Loading Data,,analysis.loading_data,,,,
frontend/analytics/sectors/sections/Filters.tsx:868,Loading sectors...,,analysis.loading_sectors,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:314,Losses,,analysis.losses,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:306,Losses,,analysis.losses,,,,
routes/$lang+/analytics+/disaster-events.tsx:1292,Losses,,analysis.losses,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:430,Losses,,analysis.losses,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:447,Losses,,analysis.losses,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:639,Losses by Hazard Type,,analysis.losses_by_hazard_type,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:624,Losses by Hazard Type,,analysis.losses_by_hazard_type,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:615,Losses by Hazard Type,,analysis.losses_by_hazard_type,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:459,Losses ID,,analysis.losses_id,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:458,Losses ID,,analysis.losses_id,,,,
routes/$lang+/analytics+/disaster-events.tsx:1005,Men and women affected,,analysis.men_and_women_affected,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:349,Men and women affected,,analysis.men_and_women_affected,,,,
routes/$lang+/analytics+/disaster-events.tsx:896,Missing,,analysis.missing,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:207,Missing,,analysis.missing,,,,Label for the number of missing people
frontend/analytics/hazards/sections/HumanAffects.tsx:239,Missing Icon,,analysis.missing_icon,,,,Alt text for the icon that represents missing persons
frontend/analytics/sectors/sections/MostDamagingEvents.tsx:165,The Most Damaging Events,,analysis.most_damaging_events,,,,
frontend/analytics/sectors/sections/MostDamagingEvents.tsx:159,The Most Damaging Events,,analysis.most_damaging_events,,,,
frontend/analytics/sectors/sections/MostDamagingEvents.tsx:123,Most Damaging Events,,analysis.most_damaging_events,,,,
frontend/analytics/sectors/sections/MostDamagingEvents.tsx:217,"Displays key disasters by damage, losses, and dates.",,analysis.most_damaging_events_description,,,,
frontend/analytics/sectors/sections/ImpactMap.tsx:201,No administrative divisions are available in the system. Please contact your administrator to set up geographic boundaries.,,analysis.no_admin_divisions_available,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:294,No damage records details available for the selected criteria.,,analysis.no_damage_records_details,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:342,No damages data available for the selected criteria.,,analysis.no_damages_data_for_criteria,,,,
frontend/analytics/hazards/sections/DamagesAndLoses.tsx:188,No data available,,analysis.no_data_available,,,,
frontend/analytics/sectors/sections/ImpactOnSector.tsx:320,No Data Available,,analysis.no_data_available,,,,Indicates that no data is available for the current selection or query
frontend/analytics/hazards/sections/ImpactByHazard.tsx:141,No data available,,analysis.no_data_available,,,,
frontend/analytics/hazards/sections/DamagesAndLoses.tsx:96,No data available,,analysis.no_data_available,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:513,No disruption data available for the selected criteria.,,analysis.no_disruption_data_for_criteria,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:432,No disruption records details available for the selected criteria.,,analysis.no_disruption_records_details,,,,
components/CustomMap.tsx:225,No economic impact,,analysis.no_economic_impact,,,,
frontend/analytics/sectors/sections/MostDamagingEvents.tsx:244,No events found for the selected filters.,,analysis.no_events_found_for_filters,,,,
components/CustomMap.tsx:779,No geographic data available,,analysis.no_geographic_data_available,,,,
frontend/analytics/sectors/sections/ImpactMap.tsx:278,No geographic data available for the selected filters.,,analysis.no_geographic_data_for_filters,,,,
components/CustomMap.tsx:786,No geographic impact data found for the selected filters. Try adjusting your selection.,,analysis.no_geographic_impact_data_found_for_filters,,,,
frontend/analytics/sectors/sections/ImpactOnSector.tsx:327,No impact data available for the selected filters.,,analysis.no_impact_data_for_filters,,,,Indicates that no impact data exists for the currently applied filters
frontend/analytics/sectors/sections/EffectDetails.tsx:359,No loss records details available for the selected criteria.,,analysis.no_loss_records_details,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:434,No losses data available for the selected criteria.,,analysis.no_losses_data_for_criteria,,,,
frontend/analytics/sectors/sections/Filters.tsx:1068,No matching events found,,analysis.no_matching_events_found,,,,
frontend/analytics/sectors/sections/ImpactOnSector.tsx:296,No Sector Selected,,analysis.no_sector_selected,,,,Indicates that the user has not selected any sector for analysis
